signal_id,methods_observed,categories_observed,method_consistent_across_shots,category_consistent_across_shots,directions_observed,median_length_ratio,min_length_ratio,max_length_ratio,downsampled_in_some_shot,aliasing_risk_downsample_without_antialias,operation_characterized,generator_code_available
aminor,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
area,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
betan,cubic_spline,smooth_high_snr,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
bt,cubic_spline|decimate_with_antialiasing,smooth_high_snr,False,True,DOWNSAMPLED,0.49994898479746963,0.05,0.5000509632045663,True,True,True,False
cerqrott10,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqrott11,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5457536812193231,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqrott12,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqrott13,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5547449362340585,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqrott3,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5992217898832685,0.5,1.0,True,True,True,False
cerqrott6,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5992217898832685,0.5,0.99800796812749,True,True,True,False
cerqrott8,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqtit10,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqtit11,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5457536812193231,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqtit12,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqtit13,cubic_spline_simple,slow_varying,True,True,DOWNSAMPLED|PRESERVED,0.5547449362340585,0.49951876804619827,0.9973684210526316,True,True,True,False
cerqtit3,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5992217898832685,0.5,1.0,True,True,True,False
cerqtit6,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5992217898832685,0.5,0.99800796812749,True,True,True,False
cerqtit8,cubic_spline,smooth_high_snr,True,True,DOWNSAMPLED|PRESERVED,0.5449028705479927,0.49951876804619827,0.9973684210526316,True,True,True,False
density,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.9997993981945837,0.9997563946406821,0.9998348199537496,False,False,True,False
drsep,pchip_careful,fast_transient,True,True,PRESERVED|UPSAMPLED,1.0119284765699108,0.996268656716418,4.089285714285714,False,False,True,False
ece1,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece10,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece11,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece12,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece13,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece14,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece15,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece16,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece17,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece18,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece19,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece2,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece20,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece21,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece22,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
ece23,cubic_spline,smooth_high_snr,True,True,PRESERVED,0.999960668633235,0.999952439836393,1.0,False,False,True,False
