shot_id,device,n_signals_present,all_95_present,common_window_start_ms,common_window_end_ms,common_window_ms,grid_dt_all95_ms,time_units,calendar_date,campaign_id,operating_regime
155537,DIII-D,95,True,600.0,4865.0,4265.0,4.2692692692692695,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
159310,DIII-D,95,True,720.0,5060.0,4340.0,4.344344344344345,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
160715,DIII-D,95,True,600.0,4880.0,4280.0,4.2842842842842845,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
160717,DIII-D,95,True,600.0,4840.0,4240.0,4.2442442442442445,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
160719,DIII-D,95,True,600.0,4900.0,4300.0,4.3043043043043046,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
160720,DIII-D,95,True,600.0,4880.0,4280.0,4.2842842842842845,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
160721,DIII-D,95,True,600.0,4860.0,4260.0,4.2642642642642645,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
161136,DIII-D,95,True,1210.0,4960.0,3750.0,3.7537537537537538,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
161138,DIII-D,95,True,1210.0,4960.0,3750.0,3.7537537537537538,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
161145,DIII-D,95,True,1210.0,4960.0,3750.0,3.7537537537537538,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
161414,DIII-D,95,True,720.0,5820.0,5100.0,5.105105105105105,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165017,DIII-D,95,True,600.0,4885.0,4285.0,4.2892892892892895,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165022,DIII-D,95,True,600.0,4865.0,4265.0,4.2692692692692695,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165026,DIII-D,95,True,600.0,4885.0,4285.0,4.2892892892892895,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165027,DIII-D,95,True,600.0,4665.0,4065.0,4.069069069069069,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165028,DIII-D,95,True,600.0,4885.0,4285.0,4.2892892892892895,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165029,DIII-D,95,True,800.0,4885.0,4085.0,4.089089089089089,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165031,DIII-D,95,True,800.0,4885.0,4085.0,4.089089089089089,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165042,DIII-D,95,True,600.0,4865.0,4265.0,4.2692692692692695,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165043,DIII-D,95,True,600.0,4885.0,4285.0,4.2892892892892895,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165860,DIII-D,95,True,600.0,4520.0,3920.0,3.923923923923924,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165861,DIII-D,95,True,600.0,4880.0,4280.0,4.2842842842842845,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165955,DIII-D,95,True,600.0,4660.0,4060.0,4.064064064064064,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
165965,DIII-D,95,True,600.0,4860.0,4260.0,4.2642642642642645,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
170394,DIII-D,95,True,410.0,5000.0,4590.0,4.594594594594595,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
170396,DIII-D,95,True,410.0,5000.0,4590.0,4.594594594594595,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
170411,DIII-D,95,True,410.0,5000.0,4590.0,4.594594594594595,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
186997,DIII-D,95,True,600.0,5960.0,5360.0,5.365365365365365,ms,UNRESOLVED,UNRESOLVED,"NOT_ASSIGNED (would be inference, not record)"
