realization_index,shot,lambda_relative,feature,display_name,coefficient,canonical_coefficient,shrinkage_ratio
0,155537,0.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.3970412945316401,0.3970412945316385,1.000000000000004
0,155537,0.0,d[kappa]/d[t],dot kappa,1.3182993586331702,1.3182993586331713,0.9999999999999991
0,155537,0.0,r[q95]/r[kappa],q95 / kappa,-0.016200319260867548,-0.0162003192608668,1.000000000000046
0,155537,0.0,d[pcdiamag3]/d[betan],D_betaN W_dia,1.2638060173861903,1.2638060173861885,1.0000000000000013
0,155537,0.0,d[kappa]/d[betan],D_betaN kappa,-1.6150993824471753,-1.6150993824471749,1.0000000000000002
0,155537,0.0,d[betan]/d[t],dot beta_N,-0.40242271338821506,-0.4024227133882137,1.0000000000000033
0,155537,0.0,d[li]/d[betan],D_betaN l_i,0.008705358425908388,0.0087053584259089,0.9999999999999413
0,155537,1e-06,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.3985449057920936,0.3970412945316385,1.0037870399909632
0,155537,1e-06,d[kappa]/d[t],dot kappa,1.316912652709273,1.3182993586331713,0.998948109991242
0,155537,1e-06,r[q95]/r[kappa],q95 / kappa,-0.01627140261358167,-0.0162003192608668,1.004387774806795
0,155537,1e-06,d[pcdiamag3]/d[betan],D_betaN W_dia,1.26142619766878,1.2638060173861885,0.9981169422485181
0,155537,1e-06,d[kappa]/d[betan],D_betaN kappa,-1.6113773630514865,-1.6150993824471749,0.9976954858405995
0,155537,1e-06,d[betan]/d[t],dot beta_N,-0.40127102043808344,-0.4024227133882137,0.9971381015240577
0,155537,1e-06,d[li]/d[betan],D_betaN l_i,0.008764703488690042,0.0087053584259089,1.006817072873705
0,155537,1e-05,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.4117527386151248,0.3970412945316385,1.0370526801269886
0,155537,1e-05,d[kappa]/d[t],dot kappa,1.3047073525802666,1.3182993586331713,0.9896897423457772
0,155537,1e-05,r[q95]/r[kappa],q95 / kappa,-0.016894378174425545,-0.0162003192608668,1.042842298499345
0,155537,1e-05,d[pcdiamag3]/d[betan],D_betaN W_dia,1.2405142789624017,1.2638060173861885,0.9815701633768458
0,155537,1e-05,d[kappa]/d[betan],D_betaN kappa,-1.5786464178105364,-1.6150993824471749,0.9774298937682674
0,155537,1e-05,d[betan]/d[t],dot beta_N,-0.39113909892750653,-0.4024227133882137,0.9719607912642297
0,155537,1e-05,d[li]/d[betan],D_betaN l_i,0.009284203101684815,0.0087053584259089,1.066492917058206
0,155537,0.0001,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.5178496025520538,0.3970412945316385,1.304271393641622
0,155537,0.0001,d[kappa]/d[t],dot kappa,1.2046940414815532,1.3182993586331713,0.9138243401184649
0,155537,0.0001,r[q95]/r[kappa],q95 / kappa,-0.02178284131961165,-0.0162003192608668,1.3445933360233147
0,155537,0.0001,d[pcdiamag3]/d[betan],D_betaN W_dia,1.0719272062480618,1.2638060173861885,0.8481738427429143
